X...target.gene_info.symbol	association_score.overall	association_score.datatypes.genetic_association	association_score.datatypes.somatic_mutation	association_score.datatypes.known_drug	association_score.datatypes.affected_pathway	association_score.datatypes.rna_expression	association_score.datatypes.literature	association_score.datatypes.animal_model	target.gene_info.name	known_drug_binary
GOLGA2	1	0	0	0	1	0	0	0	golgin A2	0
FAAH	1	0	0	1	0	0	0	0	fatty acid amide hydrolase	1
HTR1A	0.92692614813378	0	0	0.913722222222222	0	0	0.0528157036462323	0	5-hydroxytryptamine receptor 1A	1
DRD2	0.922088886054422	0	0	0.907472222222222	0	0	0.0584666553287982	0	dopamine receptor D2	1
CR1	0.912577444200133	0.893727170394319	0	0	0	0	0.0769797083011204	0	complement C3b/C4b receptor 1 (Knops blood group)	0
SLC6A3	0.902172222222222	0	0	0.897222222222222	0	0	0.0198	0	solute carrier family 6 member 3	1
MMP1	0.884122222222222	0	0	0.875	0	0	0.0364888888888889	0	matrix metallopeptidase 1	1
MMP13	0.8788	0	0	0.875	0	0	0.0152	0	matrix metallopeptidase 13	1
MMP7	0.8787	0	0	0.875	0	0	0.0148	0	matrix metallopeptidase 7	1
MMP8	0.875	0	0	0.875	0	0	0	0	matrix metallopeptidase 8	1
CLU	0.870074332925463	0.833576771795899	0	0	0	0	0.145990244518253	0	clusterin	0
NECTIN2	0.808069349493121	0.803995752109378	0	0	0	0	0.0348	0	nectin cell adhesion molecule 2	0
APOC1	0.801935598112372	0.784701100221133	0	0	0	0	0.0689379915649596	0	apolipoprotein C1	0
HTR2A	0.781622267436945	0	0	0.767361111111111	0	0	0.057044625303335	0	5-hydroxytryptamine receptor 2A	1
SLC6A2	0.763680111111111	0	0	0.75	0	0	0.0547204444444445	0	solute carrier family 6 member 2	1
BIN1	0.742094479326884	0.726919373197268	0	0	0	0	0.0607004245184637	0	bridging integrator 1	0
ALDH5A1	0.7225	0	0	0.7225	0	0	0	0	aldehyde dehydrogenase 5 family member A1	1
MS4A6A	0.687027408450085	0.672958800173441	0	0	0	0	0.056274433106576	0	membrane spanning 4-domains A6A	0
PICALM	0.681553648156032	0.665372878887335	0	0	0	0	0.0647230770747911	0	phosphatidylinositol binding clathrin assembly protein	0
MT-ND1	0.661388888888889	0.661388888888889	0	0	0	0	0	0	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	0
PTK2B	0.643156141961391	0.625262276740303	0	0	0	0	0.0715754608843538	0	protein tyrosine kinase 2 beta	0
FRMD4A	0.597248148148148	0.589814814814815	0	0	0	0	0.0297333333333333	0	FERM domain containing 4A	0
TREM2	0.569200424728141	0.545951933535681	0	0	0	0.00663749772028612	0.0900439657830467	0	triggering receptor expressed on myeloid cells 2	0
CD2AP	0.549215584034145	0.53354033929318	0	0	0	0	0.0627009789638595	0	CD2 associated protein	0
APOE	0.542701855004881	0.525617986238874	0	0	0	0	0.147486555594858	0	apolipoprotein E	0
MT-ND2	0.513814691609977	0.5	0	0	0	0	0.0552587664399093	0	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2	0
CD33	0.438888171294118	0.425970587478823	0	0	0	0	0.0615559101217542	0	CD33 molecule	0
SLC24A4	0.4351209903551	0.425591129243989	0	0	0	0	0.0381194444444444	0	solute carrier family 24 member 4	0
MTHFD1L	0.431841477965672	0.420288700187894	0	0	0	0	0.0462111111111111	0	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	0
MS4A4E	0.43156788921409	0.419089416991868	0	0	0	0	0.0499138888888889	0	membrane spanning 4-domains A4E	0
PRIM2	0.423299000144534	0.423299000144534	0	0	0	0	0	0	primase (DNA) subunit 2	0
ZCWPW1	0.408694695816709	0.399613445816709	0	0	0	0	0.036325	0	zinc finger CW-type and PWWP domain containing 1	0
GABRA2	0.383982	0.327732	0	0.225	0	0	0	0	gamma-aminobutyric acid type A receptor alpha2 subunit	1
MS4A4A	0.380164105488603	0.369897000433602	0	0	0	0.0136919454950066	0.0349831111111111	0	membrane spanning 4-domains A4A	0
FERMT2	0.360538989452571	0.350866100563682	0	0	0	0	0.0386915555555556	0	fermitin family member 2	0
EPDR1	0.359711299812106	0.359711299812106	0	0	0	0	0	0	ependymin related 1	0
CELF1	0.355870138888889	0.346666666666667	0	0	0	0	0.0368138888888889	0	CUGBP Elav-like family member 1	0
CNTNAP5	0.349254323310938	0.349254323310938	0	0	0	0	0	0	contactin associated protein like 5	0
EED	0.3474914167028	0.3474914167028	0	0	0	0	0	0	embryonic ectoderm development	0
AC008695.1	0.344647428496632	0.344647428496632	0	0	0	0	0	0		0
CASS4	0.341987245628815	0.325991412295481	0	0	0	0	0.0639833333333333	0	Cas scaffolding protein family member 4	0
MEF2C	0.326269574967541	0.31684671385643	0	0	0	0	0.0376914444444444	0	myocyte enhancer factor 2C	0
FBXL7	0.322277966478773	0.316377966478773	0	0	0	0	0.0236	0	F-box and leucine rich repeat protein 7	0
CHRNA7	0.319825689919188	0	0	0.306982924613065	0	0	0.0513710612244898	0	cholinergic receptor nicotinic alpha 7 subunit	1
CHRNB2	0.318328546233308	0	0	0.308953546233308	0	0	0.0375	0	cholinergic receptor nicotinic beta 2 subunit	1
CHRNA4	0.315310799319728	0	0	0.303921910430839	0	0	0.0455555555555556	0	cholinergic receptor nicotinic alpha 4 subunit	1
MRPL58	0.307958800173441	0.307958800173441	0	0	0	0	0	0	mitochondrial ribosomal protein L58	0
NDUFAF6	0.307532767230349	0.307532767230349	0	0	0	0	0	0	NADH:ubiquinone oxidoreductase complex assembly factor 6	0
SCAPER	0.306786553261764	0.306786553261764	0	0	0	0	0	0	S-phase cyclin A associated protein in the ER	0
PPP1R3B	0.304401008113082	0.304401008113082	0	0	0	0	0	0	protein phosphatase 1 regulatory subunit 3B	0
MSX2	0.303612951024956	0.303612951024956	0	0	0	0	0	0	msh homeobox 2	0
SCARA3	0.300317600346881	0.295917600346881	0	0	0	0	0.0176	0	scavenger receptor class A member 3	0
HRH3	0.298901819117867	0	0	0.282472222222222	0	0	0.0657183875825801	0	histamine receptor H3	1
HMGCR	0.298092252366544	0	0	0.272222222222222	0	0	0.103480120577289	0	3-hydroxy-3-methylglutaryl-CoA reductase	1
SESTD1	0.297762950296295	0.297762950296295	0	0	0	0	0	0	SEC14 and spectrin domain containing 1	0
PCDH11X	0.294435188993556	0.281870327882445	0	0	0	0	0.0502594444444444	0	protocadherin 11 X-linked	0
ACSL6	0.292832516159894	0.290288700187894	0	0	0	0.0101752638879987	0	0	acyl-CoA synthetase long chain family member 6	0
CDC42SE2	0.290288700187894	0.290288700187894	0	0	0	0	0	0	CDC42 small effector 2	0
RBFOX1	0.287025618451522	0.287025618451522	0	0	0	0	0	0	RNA binding protein, fox-1 homolog 1	0
VSNL1	0.286695752041072	0.269613445816709	0	0	0	0.013826379407503	0.0621841673830068	0	visinin like 1	0
TRIP4	0.285844067042455	0.277244067042455	0	0	0	0	0.0344	0	thyroid hormone receptor interactor 4	0
SPPL2A	0.282658078962148	0.282658078962148	0	0	0	0	0	0	signal peptide peptidase like 2A	0
MEIKIN	0.282658078962148	0.282658078962148	0	0	0	0	0	0	meiotic kinetochore factor	0
HNF4G	0.28192	0.28192	0	0	0	0	0	0	hepatocyte nuclear factor 4 gamma	0
SEC24B	0.281402150411922	0.281402150411922	0	0	0	0	0	0	SEC24 homolog B, COPII coat complex component	0
PHF14	0.281338716174533	0.281338716174533	0	0	0	0	0	0	PHD finger protein 14	0
CEP295NL	0.28	0.28	0	0	0	0	0	0	CEP295 N-terminal like	0
CNTNAP2	0.279730866833947	0.271030866833947	0	0	0	0	0.0348	0	contactin associated protein like 2	0
SQSTM1	0.27832352937716	0.266712418266049	0	0	0	0	0.0464444444444444	0	sequestosome 1	0
COL25A1	0.277475906119238	0.264199433897016	0	0	0	0	0.0531058888888889	0	collagen type XXV alpha 1 chain	0
SCIMP	0.277244067042455	0.277244067042455	0	0	0	0	0	0	SLP adaptor and CSK interacting membrane protein	0
FAM19A5	0.276901979946415	0.276901979946415	0	0	0	0	0	0	family with sequence similarity 19 member A5, C-C motif chemokine like	0
TMC5	0.274872	0.274872	0	0	0	0	0	0	transmembrane channel like 5	0
ABCA8	0.274501558193208	0.274501558193208	0	0	0	0	0	0	ATP binding cassette subfamily A member 8	0
FAM240B	0.273044633145439	0.273044633145439	0	0	0	0	0	0	family with sequence similarity 240 member B	0
IRAK1BP1	0.272185549920506	0.272185549920506	0	0	0	0	0	0	interleukin 1 receptor associated kinase 1 binding protein 1	0
TMEM132C	0.270945994035495	0.270945994035495	0	0	0	0	0	0	transmembrane protein 132C	0
SYNJ1	0.270688525163633	0.260300080719189	0	0	0	0	0.0415537777777778	0	synaptojanin 1	0
AC005008.2	0.266666666666667	0.266666666666667	0	0	0	0	0	0		0
ESR2	0.266374912965194	0	0	0.225	0	0	0.165499651860776	0	estrogen receptor 2	1
CDH1	0.266264583333333	0.26	0	0	0	0	0.0250583333333333	0	cadherin 1	0
ECHDC3	0.263453281053347	0.263453281053347	0	0	0	0	0	0	enoyl-CoA hydratase domain containing 3	0
MECOM	0.261982824590963	0.261982824590963	0	0	0	0	0	0	MDS1 and EVI1 complex locus	0
HBEGF	0.260915149811213	0.260915149811213	0	0	0	0	0	0	heparin binding EGF like growth factor	0
PIFO	0.26	0.26	0	0	0	0	0	0	primary cilia formation	0
HMCN1	0.26	0.26	0	0	0	0	0	0	hemicentin 1	0
SH2D4B	0.26	0.26	0	0	0	0	0	0	SH2 domain containing 4B	0
ZAP70	0.26	0.26	0	0	0	0	0	0	zeta chain of T-cell receptor associated protein kinase 70	0
TREML2	0.257923949984654	0.248873949984654	0	0	0	0	0.0362	0	triggering receptor expressed on myeloid cells like 2	0
TLE1	0.2575257498916	0.2575257498916	0	0	0	0	0	0	transducin like enhancer of split 1	0
TNF	0.254479222382939	0	0	0.225	0	0	0.117916889531757	0	tumor necrosis factor	1
ABCA1	0.25419370214679	0.24032350006595	0	0	0	0	0.0632928407200722	0	ATP binding cassette subfamily A member 1	0
COBL	0.253698000289068	0.246598000289068	0	0	0	0	0.0284	0	cordon-bleu WH2 repeat protein	0
CHRNA6	0.2536	0	0	0.25	0	0	0.0144	0	cholinergic receptor nicotinic alpha 6 subunit	1
CACNA2D3	0.252933884559716	0.246955366854561	0	0	0	0.00880665934640024	0.02	0	calcium voltage-gated channel auxiliary subunit alpha2delta 3	0
STEAP3	0.252041199826559	0.252041199826559	0	0	0	0	0	0	STEAP3 metalloreductase	0
KCNN3	0.251955366854561	0.246955366854561	0	0	0	0	0.02	0	potassium calcium-activated channel subfamily N member 3	0
RSPH10B2	0.250762624842678	0.250762624842678	0	0	0	0	0	0	radial spoke head 10 homolog B2	0
SLC16A9	0.250675504823829	0.250675504823829	0	0	0	0	0	0	solute carrier family 16 member 9	0
SLC10A2	0.250467666522133	0.243367666522133	0	0	0	0	0.0284	0	solute carrier family 10 member 2	0
CHRNA5	0.25	0	0	0.25	0	0	0	0	cholinergic receptor nicotinic alpha 5 subunit	1
EDAR	0.248998000289068	0.246598000289068	0	0	0	0	0.0096	0	ectodysplasin A receptor	0
SELENOO	0.247381399797652	0.247381399797652	0	0	0	0	0	0	selenoprotein O	0
SDR42E2	0.247290427677283	0.247290427677283	0	0	0	0	0	0	short chain dehydrogenase/reductase family 42E, member 2	0
NKAIN3	0.247290427677283	0.247290427677283	0	0	0	0	0	0	sodium/potassium transporting ATPase interacting 3	0
CEP44	0.247217497989119	0.247217497989119	0	0	0	0	0	0	centrosomal protein 44	0
TMEM94	0.246955366854561	0.246955366854561	0	0	0	0	0	0	transmembrane protein 94	0
UGT1A10	0.246955366854561	0.246955366854561	0	0	0	0	0	0	UDP glucuronosyltransferase family 1 member A10	0
SLMAP	0.246955366854561	0.246955366854561	0	0	0	0	0	0	sarcolemma associated protein	0
PDE1A	0.246955366854561	0.246955366854561	0	0	0	0	0	0	phosphodiesterase 1A	0
SORD	0.246955366854561	0.246955366854561	0	0	0	0	0	0	sorbitol dehydrogenase	0
AC090673.1	0.246955366854561	0.246955366854561	0	0	0	0	0	0		0
ACO1	0.245919160618978	0.237008049507866	0	0	0	0	0.0356444444444444	0	aconitase 1	0
ZBTB10	0.245278312854941	0.245278312854941	0	0	0	0	0	0	zinc finger and BTB domain containing 10	0
TFEB	0.243339928955872	0.233144239620273	0	0	0	0	0.0484115124716553	0	transcription factor EB	0
FBXO40	0.242753962393603	0.242753962393603	0	0	0	0	0	0	F-box protein 40	0
INSR	0.242078289102991	0	0	0.225	0	0	0.068313156411963	0	insulin receptor	1
GSK3B	0.242066303220219	0	0	0.225	0	0	0.0682652128808769	0	glycogen synthase kinase 3 beta	1
PEX6	0.240562091466001	0.240562091466001	0	0	0	0	0	0	peroxisomal biogenesis factor 6	0
MMP12	0.24	0.24	0	0	0	0	0	0	matrix metallopeptidase 12	0
TBXAS1	0.239324745628815	0.239324745628815	0	0	0	0	0	0	thromboxane A synthase 1	0
TENM4	0.239324745628815	0.239324745628815	0	0	0	0	0	0	teneurin transmembrane protein 4	0
IGSF23	0.239324745628815	0.239324745628815	0	0	0	0	0	0	immunoglobulin superfamily member 23	0
NAALADL2	0.239324745628815	0.239324745628815	0	0	0	0	0	0	N-acetylated alpha-linked acidic dipeptidase like 2	0
HS3ST1	0.238496731999525	0.238496731999525	0	0	0	0	0	0	heparan sulfate-glucosamine 3-sulfotransferase 1	0
HACE1	0.235989656355203	0.235989656355203	0	0	0	0	0	0	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1	0
CCDC89	0.235329495398571	0.235329495398571	0	0	0	0	0	0	coiled-coil domain containing 89	0
ITSN2	0.235136809225761	0.235136809225761	0	0	0	0	0	0	intersectin 2	0
KDM1B	0.235136809225761	0.235136809225761	0	0	0	0	0	0	lysine demethylase 1B	0
RXRA	0.234519444444444	0	0	0.225	0	0	0.0380777777777778	0	retinoid X receptor alpha	1
CEP63	0.233910733709122	0.233910733709122	0	0	0	0	0	0	centrosomal protein 63	0
RASSF8	0.233910733709122	0.233910733709122	0	0	0	0	0	0	Ras association domain family member 8	0
ANKRD22	0.233910733709122	0.233910733709122	0	0	0	0	0	0	ankyrin repeat domain 22	0
PUS1	0.233910733709122	0.233910733709122	0	0	0	0	0	0	pseudouridylate synthase 1	0
DAPL1	0.233910733709122	0.233910733709122	0	0	0	0	0	0	death associated protein like 1	0
AKR7A3	0.233910733709122	0.233910733709122	0	0	0	0	0	0	aldo-keto reductase family 7 member A3	0
DLC1	0.233910733709122	0.233910733709122	0	0	0	0	0	0	DLC1 Rho GTPase activating protein	0
SELP	0.233380112483375	0.226280112483375	0	0	0	0	0.0284	0	selectin P	0
ANGPT4	0.233380112483375	0.226280112483375	0	0	0	0	0.0284	0	angiopoietin 4	0
PTPRG	0.232467951784856	0.225942951784856	0	0	0	0	0.0261	0	protein tyrosine phosphatase, receptor type G	0
PLA2G7	0.2322	0	0	0.225	0	0	0.0288	0	phospholipase A2 group VII	1
GABRA1	0.2321	0	0	0.225	0	0	0.0284	0	gamma-aminobutyric acid type A receptor alpha1 subunit	1
CELF2	0.231324000144534	0.223299000144534	0	0	0	0	0.0321	0	CUGBP Elav-like family member 2	0
MCIDAS	0.230954152529574	0	0	0	0	0	0.230954152529574	0	multiciliate differentiation and DNA synthesis associated cell cycle protein	0
LARS	0.230942951784856	0.225942951784856	0	0	0	0	0.02	0	leucyl-tRNA synthetase	0
ABL1	0.2306	0	0	0.225	0	0	0.0224	0	ABL proto-oncogene 1, non-receptor tyrosine kinase	1
SLC2A9	0.230555709531198	0.230555709531198	0	0	0	0	0	0	solute carrier family 2 member 9	0
BICRA	0.229711299812106	0.229711299812106	0	0	0	0	0	0	BRD4 interacting chromatin remodeling complex associated protein	0
BAALC	0.229711299812106	0.229711299812106	0	0	0	0	0	0	BAALC, MAP3K1 and KLF4 binding	0
C5orf64	0.229711299812106	0.229711299812106	0	0	0	0	0	0	chromosome 5 open reading frame 64	0
DNAH6	0.229711299812106	0.229711299812106	0	0	0	0	0	0	dynein axonemal heavy chain 6	0
GABRG3	0.229282269896277	0.0171290795851062	0	0.225	0	0	0	0	gamma-aminobutyric acid type A receptor gamma3 subunit	1
TGFB2	0.228896534253247	0.21674909434395	0	0	0	0	0.0485897596371882	0	transforming growth factor beta 2	0
GABRG1	0.2286	0	0	0.225	0	0	0.0144	0	gamma-aminobutyric acid type A receptor gamma1 subunit	1
OSBPL6	0.228583190774239	0.222983190774239	0	0	0	0	0.0224	0	oxysterol binding protein like 6	0
LINGO1	0.227958800173441	0.227958800173441	0	0	0	0	0	0	leucine rich repeat and Ig domain containing 1	0
ZNF703	0.227861135301868	0.227861135301868	0	0	0	0	0	0	zinc finger protein 703	0
FAM84B	0.227861135301868	0.227861135301868	0	0	0	0	0	0	family with sequence similarity 84 member B	0
FGF10	0.226986849881948	0.22323828141241	0	0	0	0.0149942738781522	0	0	fibroblast growth factor 10	0
KSR2	0.226895678764391	0.226895678764391	0	0	0	0	0	0	kinase suppressor of ras 2	0
LAMP1	0.226811828105044	0.215186828105044	0	0	0	0	0.0465	0	lysosomal associated membrane protein 1	0
F13A1	0.226595647965901	0.222983190774239	0	0	0	0.0144498287666484	0	0	coagulation factor XIII A chain	0
CFAP74	0.226280112483375	0.226280112483375	0	0	0	0	0	0	cilia and flagella associated protein 74	0
GPR180	0.226280112483375	0.226280112483375	0	0	0	0	0	0	G protein-coupled receptor 180	0
ARIH1	0.226280112483375	0.226280112483375	0	0	0	0	0	0	ariadne RBR E3 ubiquitin protein ligase 1	0
OFCC1	0.226280112483375	0.226280112483375	0	0	0	0	0	0	orofacial cleft 1 candidate 1	0
RASSF5	0.226280112483375	0.226280112483375	0	0	0	0	0	0	Ras association domain family member 5	0
MAP2K5	0.226280112483375	0.226280112483375	0	0	0	0	0	0	mitogen-activated protein kinase kinase 5	0
RXRG	0.225792580494456	0.00317032197782385	0	0.225	0	0	0	0	retinoid X receptor gamma	1
GABRB3	0.225706728316542	0.00282691326616888	0	0.225	0	0	0	0	gamma-aminobutyric acid type A receptor beta3 subunit	1
FANCD2OS	0.225667814231698	0.225667814231698	0	0	0	0	0	0	FANCD2 opposite strand	0
GABRA6	0.225	0	0	0.225	0	0	0	0	gamma-aminobutyric acid type A receptor alpha6 subunit	1
GABRG2	0.225	0	0	0.225	0	0	0	0	gamma-aminobutyric acid type A receptor gamma2 subunit	1
GABRA4	0.225	0	0	0.225	0	0	0	0	gamma-aminobutyric acid type A receptor alpha4 subunit	1
GABRA5	0.225	0	0	0.225	0	0	0	0	gamma-aminobutyric acid type A receptor alpha5 subunit	1
RXRB	0.225	0	0	0.225	0	0	0	0	retinoid X receptor beta	1
GABRA3	0.225	0	0	0.225	0	0	0	0	gamma-aminobutyric acid type A receptor alpha3 subunit	1
LINC01098	0.223379084932716	0.223379084932716	0	0	0	0	0	0	long intergenic non-protein coding RNA 1098	0
TAS2R5	0.223379084932716	0.223379084932716	0	0	0	0	0	0	taste 2 receptor member 5	0
NEK10	0.223379084932716	0.223379084932716	0	0	0	0	0	0	NIMA related kinase 10	0
TMCO4	0.223379084932716	0.223379084932716	0	0	0	0	0	0	transmembrane and coiled-coil domains 4	0
WRN	0.223299000144534	0.223299000144534	0	0	0	0	0	0	Werner syndrome RecQ like helicase	0
MS4A3	0.222912	0.219312	0	0	0	0	0.0144	0	membrane spanning 4-domains A3	0
SHANK2	0.222779856124227	0.220866100563682	0	0	0	0.0076550222421801	0	0	SH3 and multiple ankyrin repeat domains 2	0
RALYL	0.222419759259949	0.220219752460668	0	0	0	0.00880002719712535	0	0	RALY RNA binding protein like	0
HSPA4	0.222099972222222	0	0	0	0	0	0	0.222099972222222	heat shock protein family A (Hsp70) member 4	0
ADAMTS20	0.221029291509345	0.217429291509345	0	0	0	0	0.0144	0	ADAM metallopeptidase with thrombospondin type 1 motif 20	0
AC093503.1	0.220866100563682	0.220866100563682	0	0	0	0	0	0		0
AOX1	0.220866100563682	0.220866100563682	0	0	0	0	0	0	aldehyde oxidase 1	0
IQGAP2	0.220866100563682	0.220866100563682	0	0	0	0	0	0	IQ motif containing GTPase activating protein 2	0
FAM83E	0.220866100563682	0.220866100563682	0	0	0	0	0	0	family with sequence similarity 83 member E	0
GTF2H3	0.220866100563682	0.220866100563682	0	0	0	0	0	0	general transcription factor IIH subunit 3	0
SNX9	0.22056488994495	0.22056488994495	0	0	0	0	0	0	sorting nexin 9	0
MPP7	0.218649491257629	0.218649491257629	0	0	0	0	0	0	membrane palmitoylated protein 7	0
ADGRL2	0.218649491257629	0.218649491257629	0	0	0	0	0	0	adhesion G protein-coupled receptor L2	0
IRF6	0.218649491257629	0.218649491257629	0	0	0	0	0	0	interferon regulatory factor 6	0
CADM2	0.218649491257629	0.218649491257629	0	0	0	0	0	0	cell adhesion molecule 2	0
FAT3	0.218649491257629	0.218649491257629	0	0	0	0	0	0	FAT atypical cadherin 3	0
HDAC9	0.218649491257629	0.218649491257629	0	0	0	0	0	0	histone deacetylase 9	0
COL12A1	0.218520245727245	0.218520245727245	0	0	0	0	0	0	collagen type XII alpha 1 chain	0
AC034102.2	0.218520245727245	0.218520245727245	0	0	0	0	0	0		0
ESR1	0.218042348559434	0.0242926990443883	0	0.2	0	0	0.061372639106896	0	estrogen receptor 1	1
GRIA1	0.217778412568598	0	0	0.2	0	0	0.0711136502743904	0	glutamate ionotropic receptor AMPA type subunit 1	1
B3GALT2	0.217429291509345	0.217429291509345	0	0	0	0	0	0	beta-1,3-galactosyltransferase 2	0
PNPLA7	0.21674909434395	0.21674909434395	0	0	0	0	0	0	patatin like phospholipase domain containing 7	0
MAOB	0.216013761845701	0	0	0.2	0	0	0.0640550473828046	0	monoamine oxidase B	1
AHNAK	0.215186828105044	0.215186828105044	0	0	0	0	0	0	AHNAK nucleoprotein	0
SYNM	0.214970374957543	0	0	0	0	0	0.214970374957543	0	synemin	0
CNR1	0.214759648893687	0	0	0.2	0	0.0144631466219515	0.0526105304094378	0	cannabinoid receptor 1	1
DST	0.214741449248437	0.204595475892428	0	0	0	0	0.0405838934240363	0	dystonin	0
UBXN11	0.2145418305181	0.2145418305181	0	0	0	0	0	0	UBX domain protein 11	0
WAC	0.213789333333333	0.213789333333333	0	0	0	0	0	0	WW domain containing adaptor with coiled-coil	0
GRIA2	0.213753624574357	0	0	0.2	0	0	0.0550144982974289	0	glutamate ionotropic receptor AMPA type subunit 2	1
AGPAT5	0.213264666955735	0.213264666955735	0	0	0	0	0	0	1-acylglycerol-3-phosphate O-acyltransferase 5	0
PLCL1	0.213264666955735	0.213264666955735	0	0	0	0	0	0	phospholipase C like 1 (inactive)	0
DRD3	0.212322833333333	0	0	0.2	0	0	0.0492913333333333	0	dopamine receptor D3	1
CYP26B1	0.21180654382107	0.210034333188799	0	0	0	0.00708884252908064	0	0	cytochrome P450 family 26 subfamily B member 1	0
ATP2B1	0.21144	0.21144	0	0	0	0	0	0	ATPase plasma membrane Ca2+ transporting 1	0
GLP1R	0.21138327064697	0	0	0.2	0	0	0.0455330825878805	0	glucagon like peptide 1 receptor	1
G3BP1	0.210245475892428	0.204595475892428	0	0	0	0	0.0226	0	G3BP stress granule assembly factor 1	0
